toNode,fromNode,floor,building
b,Multi Specialty Clinic,1,Chestnut
b,l,1,Chestnut
b,f,1,Chestnut
Radiology,m,1,Chestnut
c,d,1,Chestnut
c,m,1,Chestnut
d,e,1,Chestnut
d,i,1,Chestnut
e,j,1,Chestnut
e,Laboratory,1,Chestnut
f,k,1,Chestnut
f,b,1,Chestnut
g,k,1,Chestnut
h,i,1,Chestnut
h,k,1,Chestnut
h,l,1,Chestnut
c4,c3,1,Chestnut
c4,c5,1,Chestnut
c5,g,1,Chestnut
c5,c4,1,Chestnut
c5,c2,1,Chestnut
c3,a,1,Chestnut
g,k,1,Chestnut
c3,c2,1,Chestnut
c3,c4,1,Chestnut
c2,c1,1,Chestnut
c2,c3,1,Chestnut
c2,c5,1,Chestnut
g,c5,1,Chestnut
c1,c2,1,Chestnut
a,c3,1,Chestnut
