suite,description,lat,long,floor,type
0,3left stairs,42.092446,-71.266887,3,Staircase
0,3a1,42.092464,-71.266866,3,Intermediary
0,3a2,42.092472,-71.266881,3,Intermediary
0,3a3,42.09252,-71.26683,3,Intermediary
0,3a4,42.092505,-71.266806,3,Intermediary
0,3multi specialty,42.092496,-71.26679,3,Location
0,3middle stairs,42.092532,-71.266775,3,Staircase
0,322elevator,42.092589,-71.266719,3,Elevator
0,3a5,42.09261,-71.266686,3,Intermediary
0,3a6,42.092642,-71.266661,3,Intermediary
0,3a7,42.092679,-71.266727,3,Intermediary
0,3b1,42.092719,-71.266783,3,Intermediary
0,3b2,42.092773,-71.266725,3,Intermediary
0,3b3,42.092795,-71.266771,3,Intermediary
0,3b4,42.092826,-71.266734,3,Intermediary
0,3b5,42.092847,-71.266733,3,Intermediary
0,3right stairs,42.092855,-71.266709,3,Staircase
