Building ID,Building Name,Building Address,Building Phone,Location ID,Floor,Suite,Node ID,Node Type,Node Description,Node Coordinates,From Edges,To Edges,Department ID,Department Name,Department Phone,Department Description,Services
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3209,1,,,Location,,,,,165,Laboratory,(617) 732-9841,"Blood work, lab services","Blood work,lab services"
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3210,1,,3134,Intermediary,1b,"42.32596095273909, -71.14949758996723","3142,3142","3138,3138",,,,,
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3211,1,,3135,Intermediary,1lot2,"42.32638877194042, -71.14960193256016","3136,3136","3140,3140",,,,,
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3212,1,Chestnut Parking,3136,Entrance,,"42.32636329870798, -71.14976451657915",,"3135,3135",,,,,
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3213,1,,3137,Intermediary,1e,"42.32572010753172, -71.14953861552848","3146,3146","3150,3150",,,,,
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3214,4,428,,Location,,,,,162,Brigham Physicians Group (BPG),(617) 732-9900,Adult primary care,Adult primary care
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3215,3,303,,Location,,,,,163,Brigham Psychiatric Specialties,(617) 732-9811,"Psychiatry, psychology, social work","Psychiatry,psychology,social work"
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3216,2,201,,Location,,,,,164,Crohn's and Colitis Center,(617) 732-6389,"Crohn's disease, inflammatory bowel disease, infusion services, microscopic colitis, pulmonary, rheumatology, ulcerative colitis","Crohn's disease,inflammatory bowel disease,infusion services,microscopic colitis,pulmonary,rheumatology,ulcerative colitis"
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3217,2,210,,Location,,,,,160,Backup Child Care Center,(617) 732-9543,Backup childcare for employees,Backup childcare for employees
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3218,2,200,,Location,,,,,177,Rehabilitation Services,(617) 732-9525,"Orthopedic, sports, neurologic and vestibular Physical Therapy, pelvic floor therapy, occupational therapy, speech language pathology","Orthopedic,sports,neurologic,vestibular Physical Therapy,pelvic floor therapy,occupational therapy,speech language pathology,Cardiac Rehab; Occupational Therapy,Hand Therapy,Upper Extremity; Physical Therapy,Speech - Language"
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3219,2,204B,,Location,,,,,170,Patient Financial Services,(617) 732-9677,Patient financial counseling,Patient financial counseling
